ID,Score
1,649.8624905199094
2,684.7670850047197
3,737.8383439484626
4,632.5979189587532
5,623.941313213381
6,704.7512223417986
7,660.4906961265783
8,694.9716120602192
9,860.3110832092095
10,505.9484718016923
11,784.8546777670372
12,733.7362865968252
13,777.1239133968122
14,654.1660924361857
15,659.041626266042
16,730.6475558200614
17,706.786416053595
18,748.1214981486263
19,568.8875008993934
20,627.5894984283146
21,795.9346124325723
22,752.5335080541843
23,810.6626688144386
24,466.4083064425249
25,646.3427947273282
26,747.7740020459211
27,632.7913357022599
28,798.1026134716977
29,672.0387742397508
30,725.5609208858755
31,653.750160714533
32,805.0224689374736
33,739.0300539726784
34,655.9865338740033
35,508.92070645466885
36,669.3714043151617
37,686.9316571193049
38,770.3392464559627
39,782.4125215112045
40,685.3813863608816
41,503.312299534291
42,545.9546154549731
43,622.2244538710477
44,799.6208968090634
45,644.6563353409877
46,854.3249746946042
47,854.0219911123186
48,734.8812299002291
49,737.6078440210401
50,699.5439559373315
51,734.153758159591
52,726.7211991018064
53,803.9148945616971
54,668.9098964714958
55,737.3292756514525
56,633.7394174629665
57,827.099409093554
58,593.0938031949197
59,618.3355454536736
60,620.8233413301218
61,715.850905072741
62,789.6755234254078
63,711.7293377754561
64,784.7722248315665
65,755.166255365708
66,711.0656186318239
67,758.5651450668508
68,587.059689736752
69,809.8281066805225
70,420.23352977385
71,736.0684473983113
72,618.2064527945964
73,806.3106333390323
74,573.9861688187713
75,758.8802886315335
76,712.3882627745921
77,625.1964742162406
78,683.616474451034
79,746.414179471333
80,725.4439882091954
81,755.7797153653855
82,759.369894606848
83,661.8274687084241
84,796.9877367566228
85,736.3632396608621
86,746.668491374729
87,668.0193285700904
88,783.096115717449
89,680.7858337445207
90,732.9520471054664
91,647.2144717944614
92,750.5214913323352
93,772.5988442293325
94,755.3827221019569
95,821.3387523674647
96,591.2287301768026
97,701.5160955367503
98,625.7032565635573
99,757.26396345176
100,754.8058690466758
101,656.1123087310948
102,640.6559075028047
103,815.9733426932329
104,665.7853842321692
105,642.4443138956127
106,718.5750586227014
107,528.0980861084435
108,757.8810111224841
109,808.6798297004823
110,740.5236998522369
111,740.2161761198657
112,708.1990218415907
113,720.9860846886113
114,475.3842106943458
115,633.0580933317647
116,785.9749518633326
117,855.1989377114307
118,637.3196591731227
119,757.8646602323158
120,799.7758016500957
121,764.4712135928842
122,654.0985775469758
123,764.2783048381982
124,456.2056161337138
125,785.5835147276312
126,746.4683437793473
127,816.318902088559
128,756.2680196193469
129,820.0999898787255
130,661.0687556553088
131,690.5250430401985
132,644.3524310289644
133,807.2245052275903
134,630.7591105501349
135,607.9903689934245
136,799.1101457990844
137,574.5700225949886
138,672.7164630759539
139,809.133527216029
140,755.8733123056118
141,822.3421890349841
142,744.4955056952999
143,850.5283932454042
144,728.6984820880355
145,514.3322438950239
146,790.542723841058
147,836.6908095170395
148,603.7565361667502
149,825.5954446910735
150,667.0690402329436
151,823.0143534927614
152,769.2009387565299
153,802.7236290276996
154,771.2238137394229
155,744.7902979578506
156,726.0670047485636
157,659.1870380659864
158,830.7667073878689
159,612.8896513006516
160,725.4762296246633
161,833.4793359414581
162,734.7903316506133
163,749.7596668476929
164,651.9045103314849
165,776.048120071635
166,731.9029549426807
167,434.197138385054
168,729.6917589791394
169,567.8175176963538
170,761.2224345882778
171,826.6920338086009
172,750.8725751060872
173,744.0970519640116
174,672.8765906770498
175,739.5863652300197
176,515.2484334825767
177,736.8610052066101
178,624.2375500691409
179,757.8489760774746
180,762.0588699309703
181,668.0948760325286
182,795.1455152981149
183,740.0581280980049
184,762.65305810476
185,591.4881299057316
186,796.8345146285592
187,791.1778686135219
188,696.261490924048
189,667.6539417361038
190,725.7996438823342
191,741.3081298394036
192,683.9169498385171
193,759.1364419944048
194,661.6164311026971
195,770.4103966401713
196,705.0001368639739
197,804.6881805441083
198,791.3263918449934
199,795.297943693646
200,800.6179518670219
201,651.536012065971
202,710.1538739464529
203,507.2765371376571
204,680.9103386295602
205,741.100552907518
206,821.379708966139
207,723.1820092382283
208,831.5221502629505
209,630.9449550852819
210,833.3567201398457
211,612.0906007602373
212,713.7529112429775
213,736.5436391908365
214,807.4335108780342
215,747.2354703973065
216,654.3010904653042
217,801.8996711604171
218,635.6213731720486
219,747.2151190951746
220,844.0262950861058
221,745.307589323897
222,783.1637099799123
223,759.8059077615717
224,777.5667209020137
225,780.7478738948556
226,635.8232828536525
227,789.0845101817479
228,654.8835313976139
229,633.596815476187
230,496.73675333510266
231,551.4063991033859
232,753.0024769836552
233,764.1795010125593
234,747.5184836690757
235,842.9610742782609
236,575.9207013708028
237,670.9614251988099
238,845.513305361693
239,752.55224014195
240,744.0021850517335
241,683.1122161731705
242,765.2079243802001
243,813.4420661486572
244,721.760926386786
245,628.8160056867529
246,772.8286774214278
247,683.1322182329882
248,824.131960647748
249,741.6335284284055
250,530.2377628021485
251,744.6874937202481
252,535.2908188815492
253,823.5261204803819
254,628.6296214134837
255,852.1437024475363
256,787.3736673320105
257,694.4682110134906
258,580.5237309476195
259,684.4873101616828
260,598.125091159618
261,773.8474807507753
262,741.3137177164319
263,812.5855017489419
264,652.4229129230765
265,631.6045468197453
266,756.5265224305142
267,637.391222098248
268,667.4944173717325
269,542.9990174358766
270,815.7130619211929
271,711.8746225781952
272,689.8915174821007
273,813.3077983534685
274,747.1132038380084
275,785.6507597477801
276,725.7122221812106
277,760.276622902614
278,807.943182411769
279,648.7504236179993
280,718.1327114823687
281,418.81495908587294
282,668.0426484318937
283,665.5409304868263
284,795.6588697508002
285,780.7992442643556
286,789.21274560969
287,774.1690694236215
288,673.9325883128677
289,655.6506421409224
290,635.8463487210454
291,523.5939000438924
292,795.1227192997831
293,699.08378156432
294,769.195922366925
